state,city,business_count
PA,Philadelphia,5852
FL,Tampa,2960
IN,Indianapolis,2862
TN,Nashville,2502
AZ,Tucson,2466
LA,New Orleans,2259
AB,Edmonton,2166
MO,Saint Louis,1790
NV,Reno,1286
ID,Boise,847
CA,Santa Barbara,767
FL,Clearwater,678
DE,Wilmington,619
MO,St. Louis,542
LA,Metairie,522
FL,Saint Petersburg,491
TN,Franklin,442
FL,St. Petersburg,404
NV,Sparks,334
FL,Brandon,326
ID,Meridian,312
FL,Largo,310
NJ,Cherry Hill,297
IN,Carmel,291
PA,West Chester,280
LA,Kenner,228
FL,New Port Richey,226
CA,Goleta,220
FL,Palm Harbor,207
IN,Greenwood,207
IN,Fishers,203
FL,Riverview,198
NJ,Trenton,192
FL,Dunedin,188
TN,Hendersonville,183
FL,Lutz,178
FL,Pinellas Park,167
TN,Smyrna,167
PA,Bensalem,165
MO,Florissant,165
PA,Norristown,161
FL,Wesley Chapel,158
PA,Doylestown,156
TN,Brentwood,156
PA,King of Prussia,153
FL,Spring Hill,153
FL,Tarpon Springs,151
MO,St Louis,149
DE,Newark,146
IL,Belleville,146
PA,Phoenixville,140
PA,Exton,140
PA,Media,140
PA,Pottstown,137
LA,Gretna,137
AB,Sherwood Park,136
PA,Lansdale,131
PA,Wayne,128
IL,Edwardsville,128
PA,Ardmore,126
NJ,Marlton,123
MO,Saint Charles,122
FL,St Petersburg,121
FL,Seminole,120
PA,Levittown,117
LA,Harvey,117
PA,Malvern,113
FL,Plant City,111
IN,Avon,110
NJ,Mount Laurel,109
FL,Port Richey,106
PA,Upper Darby,104
IN,Plainfield,104
PA,Conshohocken,103
TN,Antioch,103
TN,Mount Juliet,103
DE,New Castle,102
PA,Newtown,101
MO,Clayton,101
PA,New Hope,100
PA,Langhorne,98
PA,Downingtown,97
TN,Hermitage,97
PA,North Wales,96
MO,Arnold,95
FL,Hudson,95
TN,Madison,94
PA,Springfield,93
PA,Warminster,93
PA,Bryn Mawr,93
ID,Eagle,92
PA,Havertown,91
PA,Willow Grove,91
MO,Fenton,89
MO,Maryland Heights,88
PA,Kennett Square,88
FL,Oldsmar,87
NJ,Burlington,86
NJ,Sewell,85
IL,Alton,84
NJ,Sicklerville,83
NJ,Voorhees,83
PA,Ambler,83
MO,Kirkwood,82
CA,Carpinteria,81
AZ,Oro Valley,80
IN,Brownsburg,79
PA,Collegeville,78
IL,Fairview Heights,77
FL,Valrico,77
LA,Marrero,77
FL,Clearwater Beach,77
PA,Glen Mills,75
TN,Goodlettsville,75
IN,Zionsville,73
PA,Royersford,73
NJ,Glassboro,73
MO,Ballwin,72
NJ,Medford,72
NJ,Collingswood,71
IL,Collinsville,71
MO,Bridgeton,71
MO,Creve Coeur,71
PA,Jenkintown,68
FL,St. Pete Beach,68
NJ,Moorestown,68
PA,Drexel Hill,67
MO,Chesterfield,67
FL,Madeira Beach,66
PA,Blue Bell,66
LA,Chalmette,64
PA,Hatboro,63
TN,Gallatin,63
NJ,Haddonfield,63
PA,Horsham,61
MO,University City,60
PA,Warrington,60
FL,Zephyrhills,60
NJ,Ewing,59
PA,Newtown Square,59
NJ,Camden,59
FL,Temple Terrace,59
PA,Glenside,59
NJ,Lambertville,57
LA,Harahan,56
IL,O'Fallon,56
NJ,Pennsauken,56
FL,Gulfport,55
CA,Isla Vista,55
PA,Bala Cynwyd,54
PA,Southampton,54
FL,Safety Harbor,54
PA,Abington,54
PA,Yardley,52
FL,Ruskin,52
MO,Maplewood,52
PA,Paoli,51
IL,Granite City,50
MO,Des Peres,50
NJ,Woodbury,50
PA,Aston,50
NJ,Maple Shade,49
PA,Morrisville,48
PA,Bristol,48
NJ,Mount Holly,48
PA,Huntingdon Valley,47
PA,Folsom,47
TN,White House,47
TN,La Vergne,47
NJ,Blackwood,46
MO,St. Charles,46
PA,Berwyn,46
NJ,Williamstown,46
FL,Seffner,45
AB,St Albert,45
PA,Broomall,44
FL,St Pete Beach,44
NJ,Cinnaminson,44
NJ,Clementon,43
MO,Hazelwood,43
MO,Webster Groves,43
PA,Lansdowne,43
PA,Elkins Park,43
FL,Apollo Beach,42
MO,St Charles,42
PA,Chalfont,41
FL,Odessa,41
PA,Chadds Ford,41
PA,Harleysville,40
NJ,Deptford,40
NJ,Bordentown,40
IN,Mooresville,39
AZ,Marana,39
PA,Souderton,39
NJ,Delran,38
FL,Indian Rocks Beach,38
ID,Garden City,38
PA,King Of Prussia,38
FL,Holiday,38
PA,Perkasie,37
DE,Hockessin,37
TN,Nolensville,37
PA,Fairless Hills,36
FL,Tampa Bay,36
FL,Treasure Island,36
NJ,Berlin,36
PA,Hatfield,35
PA,Plymouth Meeting,35
PA,Richboro,35
PA,East Norriton,34
PA,Narberth,34
NJ,Turnersville,34
TN,Springfield,33
AB,St. Albert,33
NJ,Swedesboro,33
PA,Clifton Heights,33
TN,Old Hickory,33
IL,Waterloo,32
NJ,Willingboro,31
MO,Brentwood,31
FL,Land O' Lakes,31
LA,Terrytown,31
MO,Valley Park,31
NJ,Voorhees Township,31
PA,Brookhaven,30
NJ,Pitman,30
IL,Columbia,30
PA,Quakertown,30
FL,Lithia,30
LA,Jefferson,30
NJ,Audubon,30
TN,Mt. Juliet,29
MO,Richmond Heights,29
IL,Wood River,29
PA,Glenolden,28
LA,Westwego,28
PA,Prospect Park,28
NJ,Haddon Township,28
PA,Wynnewood,28
PA,Chester,28
MO,Saint Ann,27
CA,Montecito,27
IL,Troy,27
IN,Speedway,27
PA,Skippack,27
FL,Saint Pete Beach,26
PA,Chester Springs,26
PA,Wyncote,26
NJ,Ewing Township,26
NJ,Pennsville,26
NJ,Merchantville,26
FL,Trinity,26
PA,Feasterville-Trevose,26
IL,O Fallon,26
AZ,Green Valley,26
NJ,Haddon Heights,25
MO,Manchester,25
NJ,West Berlin,25
NJ,Lindenwold,25
PA,Lafayette Hill,25
MO,Ferguson,24
MO,High Ridge,24
TN,Ashland City,24
PA,Boyertown,24
PA,Feasterville Trevose,23
IN,Whitestown,23
PA,Gilbertsville,23
NJ,Runnemede,23
TN,Pleasant View,23
DE,Claymont,23
IL,Swansea,22
NJ,Hamilton,22
PA,Schwenksville,22
NJ,Somerdale,22
PA,Flourtown,21
LA,Belle Chasse,21
PA,Audubon,21
PA,Dresher,21
PA,Ridley Park,21
PA,Croydon,20
PA,Spring City,20
NJ,Gloucester City,20
PA,Feasterville,20
FL,Kenneth City,20
NJ,Bellmawr,20
PA,Bridgeport,19
IL,Lebanon,19
NJ,West Deptford,19
PA,Montgomeryville,19
NJ,Stratford,19
NJ,Lumberton,19
IN,Camby,19
PA,Boothwyn,19
PA,Frazer,19
PA,Trevose,18
NJ,Mullica Hill,18
MO,Affton,18
IL,Glen Carbon,18
FL,Land O Lakes,18
NJ,Oaklyn,18
AZ,Sahuarita,17
PA,Limerick,17
NJ,Paulsboro,17
PA,Thorndale,17
FL,South Pasadena,17
MO,Imperial,17
PA,Lahaska,17
MO,Overland,17
PA,Woodlyn,17
FL,Sun City Center,17
IL,Maryville,17
PA,Folcroft,16
NV,Verdi,16
PA,Avondale,16
IN,Beech Grove,16
IL,Godfrey,16
PA,Holmes,16
NJ,Barrington,16
PA,Swarthmore,16
NJ,Pennsauken Township,16
NJ,Westmont,16
PA,Telford,16
AZ,Vail,16
FL,Gibsonton,16
PA,Oaks,15
NJ,Evesham Township,15
NJ,Palmyra,15
PA,Morton,15
PA,Maple Glen,15
PA,Collingdale,15
NJ,Hainesport,15
LA,Arabi,15
PA,Fort Washington,15
TN,Mt Juliet,15
IL,Caseyville,14
PA,Essington,14
IL,Shiloh,14
PA,Spring House,14
NJ,Columbus,14
FL,Belleair Bluffs,14
PA,Sellersville,14
FL,Tierra Verde,14
NJ,Riverside,13
NJ,Westville,13
PA,Radnor,13
PA,Pipersville,13
LA,River Ridge,13
PA,Garnet Valley,13
IN,Lawrence,13
PA,Jamison,13
IL,Millstadt,13
IL,Cahokia,13
FL,North Redington Beach,13
NJ,Deptford Township,12
NJ,Brooklawn,12
TN,Greenbrier,12
PA,Colmar,12
PA,Villanova,12
NJ,Glendora,12
FL,Hernando Beach,12
PA,Eagleville,12
NV,Sun Valley,12
PA,Buckingham,12
NJ,Pine Hill,12
NJ,Mount Ephraim,12
PA,Pennsburg,12
FL,Redington Shores,12
PA,Marcus Hook,12
NJ,Magnolia,12
NJ,Westampton,12
AB,Saint Albert,11
MO,Sunset Hills,11
TN,Bellevue,11
NJ,Mantua,11
TN,Joelton,11
PA,Penndel,11
NJ,Penns Grove,11
MO,Frontenac,11
NJ,Mt. Laurel,11
IL,East Alton,11
IN,McCordsville,11
PA,Darby,11
PA,Devon,11
PA,Dublin,11
NJ,Salem,10
PA,Oreland,10
FL,Indian Shores,10
NJ,Hammonton,10
NJ,Hamilton Township,10
PA,Holland,10
IN,Noblesville,10
NV,Virginia City,10
NJ,Woodbury Heights,10
NV,Spanish Springs,10
NJ,Woodstown,10
NJ,Gibbstown,10
MO,Olivette,10
NJ,Maple Shade Township,9
NJ,Elmer,9
NJ,Atco,9
PA,Wyndmoor,9
PA,Merion Station,9
IL,Mascoutah,9
TN,Kingston Springs,9
PA,Coatesville,9
CA,Summerland,9
PA,Trappe,9
PA,Cheltenham,8
NJ,Clayton,8
TN,Lebanon,8
PA,Eddystone,8
PA,Kulpsville,8
IN,Whiteland,8
IN,New Palestine,8
NJ,Tabernacle,8
FL,San Antonio,8
NJ,Malaga,8
PA,Sharon Hill,8
PA,Roslyn,8
PA,Trooper,8
NJ,Laurel Springs,8
NJ,Lawnside,8
MO,Town and Country,8
NJ,Franklinville,8
NJ,Gloucester Township,8
NJ,Beverly,8
AB,Beaumont,8
AZ,Catalina,7
MO,Sappington,7
MO,St Louis Downtown,7
FL,St.Petersburg,7
FL,TAMPA,7
FL,Dover,7
MO,St.Louis,7
PA,Washington Crossing,7
NJ,Wenonah,7
DE,Greenville,7
NJ,Thorofare,7
MO,Crestwood,7
MO,Berkeley,7
MO,Jennings,7
IL,East Saint Louis,7
PA,Norwood,7
ID,Boise City,7
PA,Haverford,6
NJ,Pilesgrove,6
IL,Bethalto,6
NJ,Southampton,6
NJ,Riverton,6
PA,West Conshohocken,6
PA,Aldan,6
MO,Rock Hill,6
FL,Palmetto,6
PA,Ivyland,6
NJ,Gibbsboro,6
PA,Rosemont,6
NJ,Harrison Township,6
DE,Christiana,6
NJ,Pemberton,6
PA,Primos,6
PA,Manayunk,6
NJ,Logan Township,6
FL,Thonotosassa,6
PA,Yeadon,6
IL,Pontoon Beach,5
IL,O'fallon,5
IL,Smithton,5
PA,Green Lane,5
FL,Wimauma,5
MO,Earth City,5
NJ,Lawrence Township,5
PA,New Britain,5
MO,Oakville,5
MO,Kimmswick,5
MO,Ladue,5
NJ,Shamong,5
AZ,Tuscon,5
IN,Greenfield,5
NJ,Mount Laurel Township,5
LA,Saint Rose,5
LA,Meraux,5
IL,Freeburg,5
IL,Scott Air Force Base,5
NJ,Florence,5
PA,Upper Chichester,5
PA,Toughkenamon,5
PA,Secane,5
PA,Rockledge,5
NJ,Carneys Point,5
PA,Linwood,5
NJ,Evesham,5
NJ,Monroe Township,5
LA,Violet,4
NJ,Washington Township,4
IN,Southport,4
IN,Danville,4
IN,Clermont,4
LA,Avondale,4
NJ,Florence Township,4
NJ,Winslow Township,4
AZ,Mount Lemmon,4
IN,New Whiteland,4
LA,Luling,4
MO,St. Ann,4
PA,Glenmoore,4
NJ,Newfield,4
PA,Concordville,4
NJ,National Park,4
NJ,Medford Lakes,4
PA,Cedars,4
PA,Hulmeville,4
FL,Westchase,4
PA,Chesterbrook,4
NJ,Roebling,4
IN,Castleton,4
PA,Stowe,4
PA,Jeffersonville,4
PA,Mendenhall,4
PA,Perkiomenville,4
MO,Normandy,4
PA,Worcester,4
PA,Plumsteadville,4
NJ,Edgewater Park,4
NJ,Eastampton,3
NJ,Berlin Township,3
NJ,Delanco,3
NJ,Clarksboro,3
NJ,Burlington Township,3
NJ,Chesilhurst,3
PA,Wrightstown,3
DE,Newport,3
PA,Gladwyne,3
PA,Kimberton,3
PA,Line Lexington,3
FL,Town 'n' Country,3
PA,Lester,3
PA,Lederach,3
MO,St Ann,3
MO,Shrewsbury,3
PA,Red Hill,3
PA,Southwest Philadelphia,3
FL,Carrollwood,3
FL,Dade City,3
NJ,Cedar Brook,3
PA,Saint Peters,3
MO,Town And Country,3
FL,Ozona,3
PA,Sumneytown,3
PA,West Point,3
DE,Talleyville,3
PA,Skippack Village,3
NJ,Mt Laurel,3
ID,Kuna,3
NJ,Mt.Laurel,3
MO,Green Park,3
MO,Breckenridge Hills,3
NJ,Pennsville Township,3
IN,Bargersville,3
NJ,Willingboro Township,3
NJ,Vincentown,3
NJ,Southampton Township,3
TN,Whites Creek,3
TN,Berry Hill,3
LA,St. Rose,2
PA,Cheltenham Township,2
PA,Chichester,2
NJ,Lawrence,2
PA,Erdenheim,2
PA,philadelphia,2
PA,Fairview Village,2
PA,Holicong,2
LA,NEW ORLEANS,2
TN,Fairview,2
NJ,West Trenton,2
LA,Saint Bernard,2
AB,West Edmonton,2
NJ,Pittsgrove,2
IL,East St. Louis,2
PA,Bucks,2
IL,Fairmont City,2
PA,Birchrunville,2
LA,Bridge City,2
TN,NASHVILLE,2
PA,Gwynedd,2
TN,Nashville-Davidson metropolitan government (balance),2
AB,EdMonton,2
IL,Fairview Hts.,2
IN,Cumberland,2
IL,Cottage Hills,2
LA,Elmwood,2
NJ,Woolwich Township,2
IL,Dupo,2
PA,Crum Lynne,2
NJ,Titusville,2
IN,Martinsville,2
IL,East St Louis,2
PA,Linfield,2
PA,Carversville,2
NJ,Mantua Township,2
MO,Marlborough,2
NJ,Waterford Works,2
PA,Furlong,2
MO,St. Peters,2
NJ,Lawrenceville,2
PA,Lionville,2
PA,Melrose Park,2
PA,Mont Clare,2
FL,Pinellas,2
FL,Redingtn Shor,2
PA,PHILA,2
PA,Pennsylvania,2
MO,Twin Oaks,2
MO,Warson Woods,2
MO,Winchester,2
NJ,Hi-Nella,2
NJ,Eastampton Township,2
FL,LARGO,2
PA,Silverdale,2
FL,Citrus Park,2
FL,Hillsborough County,2
PA,Warrington Township,2
PA,Thornton,2
PA,Unionville,2
TN,Belle Meade,2
DE,Pike Creek,2
DE,Wilmington Manor,2
FL,Bayonet Point,2
FL,Belleair Blf,2
DE,Elsmere,2
DE,Montchanin,2
AZ,South Tucson,2
AZ,TUCSON,2
TN,East Nashville,2
NJ,Alloway,2
PA,Westtown,2
PA,Zieglerville,2
LA,Riveridge,1
AB,East Edmonton,1
LA,St.Rose,1
NJ,Oldmans Township,1
NJ,Westampton Township,1
NJ,Westhampton,1
LA,Bucktown,1
LA,Bywater,1
LA,Chalemette,1
LA,Downtown,1
NJ,Woolwich Twp,1
NJ,Woolwich Twp.,1
NJ,sewell,1
NV,Cold Springs,1
NV,Mount Laurel,1
IN,Plainfiled,1
IN,Pleasant Township,1
IN,Wanamaker,1
IN,indianopolis,1
IN,lawrence,1
LA,Algiers,1
LA,Belle Chase,1
NV,RENO,1
NJ,West Mount Holly,1
PA,Bristol Twp,1
PA,Bryn Athyn,1
NV,Stead,1
NV,reno,1
PA,Abington Township,1
IN,Hancock,1
IN,INpolis,1
IN,Indiana,1
IN,Indianapolis ,1
IN,Lawrence Township,1
IN,Mc Cordsville,1
IN,Mccordsville,1
PA,Belmont Hills,1
PA,Bensalem Township,1
MO,Bel Ridge,1
MO,Bellefontaine,1
MO,Bellefontaine Neighbors,1
MO,Black Jack,1
MO,Blvd,1
MO,Dellwood,1
NJ,Pine HIll,1
NJ,Mount Royal,1
PA,Bethel Township,1
PA,Blooming Glen,1
IN,Boone,1
IN,Fortville,1
IN,Franklin,1
IL,Madison,1
PA,CLIFTON HEIGHTS,1
PA,Caln,1
PA,Center Square,1
PA,Charlotte,1
PA,Churchville,1
PA,Concord Township,1
PA,Conshohoeken,1
PA,Cornwells Heights,1
IL,O' Fallon,1
PA,Bensalem. Pa,1
PA,Bethel,1
NJ,Pennington,1
NJ,Mt Holly,1
NJ,"Mt Laurel Twp, NJ",1
NJ,Mt. Holly,1
MO,Glendale,1
MO,Lemay,1
IL,Sauget,1
IL,Scott AFB,1
IL,Scott Afb,1
IL,St. Louis,1
IL,Washington Park,1
IL,Fairview Hts,1
IL,Foster Pond,1
PA,Franconia,1
PA,E. Norristown,1
PA,East Greenville,1
PA,East Lansdowne,1
PA,Eddington,1
ID,Meridian ,1
ID,Nampa,1
IL,Bellville,1
PA,Edgemont,1
PA,Elverson,1
IL,Rosewood Heights,1
PA,Hilltown,1
PA,Holland Southampton,1
PA,Hollywood,1
FL,Tampa Florida,1
PA,Feasterville-trevose,1
PA,Festerville,1
FL,Twn N Cntry,1
FL,Wesley chapel,1
FL,Wyndlake Condominium,1
FL,wimauma,1
HI,Lula Lula,1
ID,BOISE,1
PA,Fox Street,1
NJ,Mercerville,1
MO,Mehlville,1
MO,Peerless Park,1
MO,ST LOUIS,1
MO,ST. Louis,1
MO,Saint John,1
NJ,Monroeville,1
NJ,Moorestown-Lenola,1
NJ,"Mount Holly,",1
MO,"Saint Louis,",1
PA,Glenoldan,1
PA,Gulph Mills,1
PA,Gwynedd Valley,1
PA,Lansdale ,1
PA,Lima,1
PA,East Falls,1
FL,Tampa Palms,1
FL,"Tampa,Fl",1
FL,Tarpon springs,1
FL,Temple Terr,1
FL,Thonosassa,1
FL,Tierre Verde,1
FL,Town 'N' Country,1
FL,Town n Country,1
PA,Kirklyn,1
PA,LANGHORNE,1
PA,LANSDALE,1
AB,Eaux Claires,1
PA,Gardenville,1
PA,LOWER PROVIDENCE,1
MO,St Louis County,1
MO,St.  Charles,1
MO,St. Louis County,1
TN,Rural Hill,1
MO,St.Ann,1
TN,Inglewood,1
NJ,Mansfield,1
MO,Sullivan,1
MO,Town & Country,1
FL,St Pete,1
FL,St Petersurg,1
FL,St. Leo,1
FL,Sun City,1
FL,TEMPLE TERR,1
FL,TRINITY,1
PA,N.Wales,1
TN,Goodletsville,1
PA,London Grove,1
PA,Lower Southampton Township,1
FL,S.Pasadena,1
FL,SPRINGHILL,1
FL,ST. PETE BEACH,1
FL,ST. PETERSBURG,1
FL,Saint Leo,1
FL,Saint Petersburg Beach,1
FL,Saintt Petersburg,1
FL,South Tampa,1
FL,Southwest Tampa,1
PA,MEDIA,1
DE,Aston,1
PA,LOWER MERION,1
PA,Phila,1
PA,Philadelphia ,1
PA,Philadephia,1
PA,Middletown,1
PA,Milmont Park,1
PA,West Chester PA,1
PA,Montgomery,1
FL,Palm harbor,1
FL,Pass-a-Grille Beach,1
FL,Pinecrest West Park,1
NJ,Cedarbrook,1
FL,Pinellas park,1
FL,RIVERVIEW,1
AB,Downtown,1
FL,Redington Shore,1
FL,Riverview Fl,1
FL,North Redington Bch,1
FL,PINELLAS PARK,1
PA,Pine Forge,1
PA,Pineville,1
PA,RADNOR,1
PA,Ridley,1
PA,NORRISTOWN,1
PA,NORTH WALES,1
PA,Newportville,1
PA,Newton,1
PA,Newtown Sqaure,1
PA,North Coventry Township,1
CO,Vail,1
PA,POTTSTOWN,1
PA,Parkside,1
AZ,Casas Adobes,1
AZ,Corona De Tucson,1
AZ,Corona de Tucson,1
AZ,Drexel Heights,1
MO,Woodson Terrace,1
MT,Kalispell,1
NJ,Haddon Twp,1
NJ,Hamiltion,1
TN,MADISON,1
NJ,Hilltop,1
NJ,Hurffville,1
NJ,Jobstown,1
TN,Mt.Juliet,1
FL,Mango,1
FL,Masaryktown,1
FL,N Redngtn Bch,1
FL,NEW PORT RICHEY,1
PA,St. Davids,1
FL,Kenneth,1
TN,Nashville ,1
FL,LITHIA,1
FL,Land O'Lakes,1
FL,Land O'lakes,1
FL,Land o Lakes,1
FL,Land o lakes,1
FL,Largo (Walsingham),1
PA,Royersford ,1
PA,Sanatoga,1
PA,Sassamansville,1
AZ,tucson,1
PA,Philly,1
FL,Lutz fl,1
MO,Town and Country ,1
NJ,Elk Township,1
NJ,Erial,1
NJ,Fieldsboro,1
NJ,Flanders,1
NJ,Folsom,1
NJ,Franklin,1
NJ,Freehold,1
NJ,Gloucester,1
MO,St.Charles,1
FL,CLEARWATER,1
PA,West Bradford Township,1
FL,Clearwater/ Countryside,1
FL,Greater Northdale,1
FL,HUdson,1
FL,Hernando Bch,1
NJ,Carney's Point,1
LA,Gentilly,1
PA,Swedeland,1
PA,Telford ,1
NJ,Westmont - Haddon Towsship,1
PA,Tinicum,1
PA,Trainer,1
PA,Tylersport,1
PA,UPPER MORELAND,1
NJ,Woodbury Hts.,1
PA,Upland,1
PA,Upper Gwynedd,1
PA,Upper Pottsgrove,1
PA,Upper Southampton,1
PA,W.Chester,1
PA,WEST CHESTER,1
PA,Solebury,1
PA,spring city,1
TN,Ashland,1
NJ,TRENTON,1
CA,Santa  Barbara,1
NJ,Tren,1
DE,Stanton,1
DE,Trolley Square,1
DE,Wilmington ,1
NJ,Upper Pittsgrove,1
DE,wilmington,1
FL,BRANDON,1
FL,Balm,1
NJ,Vineland,1
NJ,W Cherry Hill,1
PA,WILLOW GROVE,1
PA,Wallingford,1
CA,Truckee,1
NJ,W. Berlin,1
DE,Glen Mills,1
DE,Marshallton,1
NJ,Washington Twp,1
AZ,Picture Rocks,1
NJ,West Collingswood Heights,1
NJ,West Deptford Townsh,1
AZ,Valencia West,1
XMS,Liverpool,1
AB,Enoch,1
AB,Southeast Edmonton,1
TN,Clarksville,1
TN,DONELSON,1
NJ,Pittsgrove Township,1
TN,goodlettsville,1
AB,NW Edmonton,1
NJ,DELRAN,1
NC,Boone,1
NJ,Quinton,1
NJ,Audubon ,1
NJ,Blackwood ,1
NJ,Bridgeton,1
NJ,Delran Township,1
NJ,Delran Twp,1
AB,Sherwood,1
TN,Cane Ridge,1
NJ,South Cinnaminson,1
PA,Wycombe,1
LA,Metarie,1
PA,erdenheim,1
TN,View,1
